Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year Avg,Good Name,Good Unit,Source,Price Unit
1993,1.874,1.84,1.802,1.892,1.91,1.949,1.955,1.954,1.982,1.988,2.008,2.018,1.93,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1992,1.957,1.954,1.922,1.915,1.904,1.926,1.937,1.938,1.925,1.892,1.85,1.863,1.92,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1991,2.257,2.301,2.318,2.271,2.311,2.305,2.309,2.219,2.16,2.121,2.071,1.994,2.22,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1990,1.966,2.009,1.991,1.979,2.044,2.147,2.21,2.243,2.176,2.208,2.242,2.283,2.12,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1989,1.805,1.799,1.787,1.747,1.68,1.692,1.71,1.721,1.716,1.768,1.82,1.956,1.77,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1988,1.954,1.94,1.919,1.907,1.9,1.904,1.908,1.879,1.835,1.86,1.802,1.792,1.88,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1987,2.118,2.091,2.095,2.076,2.112,2.126,2.231,2.284,2.28,2.193,2.071,2.02,2.14,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1986,1.935,1.956,1.892,1.871,1.869,1.953,2.157,2.332,2.373,2.298,2.187,2.159,2.08,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1985,1.952,1.966,1.956,1.948,1.928,1.894,1.951,1.96,1.926,1.945,1.932,1.918,1.94,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1984,1.812,1.881,1.803,1.798,1.817,1.832,1.901,1.902,1.889,1.895,1.867,1.89,1.86,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1983,2.123,2.147,2.072,2.003,1.951,1.91,1.918,1.876,1.914,1.857,1.773,1.758,1.94,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1982,1.747,1.811,1.824,1.894,1.982,2.07,2.101,2.2,2.36,2.334,2.186,2.128,2.05,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1981,1.668,1.638,1.596,1.53,1.548,1.601,1.665,1.693,1.753,1.78,1.766,1.751,1.67,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1980,1.453,1.41,1.361,1.323,1.266,1.271,1.371,1.469,1.617,1.641,1.684,1.711,1.46,bacon,$/lb,https://www.bls.gov/regions/mid-atlantic/data/AverageRetailFoodAndEnergyPrices_USandMidwest_Table.htm,dollar
1979,,,,,,,,,,,,,1.595,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1978,,,,,,,,,,,,,1.73,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1977,,,,,,,,,,,,,1.56,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1976,,,,,,,,,,,,,1.71,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1975,,,,,,,,,,,,,1.76,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1974,,,,,,,,,,,,,1.33,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1973,,,,,,,,,,,,,0.96,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1972,,,,,,,,,,,,,0.8,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1971,,,,,,,,,,,,,0.94,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=mdp.39015008856711&seq=527,dollar
1970,,,,,,,,,,,,,0.95,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1969,,,,,,,,,,,,,0.88,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1968,,,,,,,,,,,,,0.81,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1967,,,,,,,,,,,,,0.84,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1966,,,,,,,,,,,,,0.95,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1965,,,,,,,,,,,,,0.81,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1964,,,,,,,,,,,,,0.67,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1963,,,,,,,,,,,,,0.68,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1962,,,,,,,,,,,,,0.7,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1961,,,,,,,,,,,,,0.71,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1960,,,,,,,,,,,,,0.66,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1959,,,,,,,,,,,,,0.67,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1958,,,,,,,,,,,,,0.79,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1957,,,,,,,,,,,,,0.74,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1956,,,,,,,,,,,,,0.57,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1955,,,,,,,,,,,,,0.66,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1954,,,,,,,,,,,,,0.82,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1953,,,,,,,,,,,,,0.79,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1952,,,,,,,,,,,,,0.65,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1951,,,,,,,,,,,,,0.67,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1950,,,,,,,,,,,,,0.64,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1949,,,,,,,,,,,,,0.67,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1948,,,,,,,,,,,,,0.77,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1947,,,,,,,,,,,,,0.78,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1946,,,,,,,,,,,,,0.53,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1945,,,,,,,,,,,,,0.41,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1944,,,,,,,,,,,,,0.41,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1943,,,,,,,,,,,,,0.43,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1942,,,,,,,,,,,,,0.39,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1941,,,,,,,,,,,,,0.34,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1940,,,,,,,,,,,,,0.27,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1939,,,,,,,,,,,,,0.32,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1938,,,,,,,,,,,,,0.37,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1937,,,,,,,,,,,,,0.41,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1936,,,,,,,,,,,,,0.41,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1935,,,,,,,,,,,,,0.41,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1934,,,,,,,,,,,,,0.29,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1933,,,,,,,,,,,,,0.23,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1932,,,,,,,,,,,,,0.24,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1931,,,,,,,,,,,,,0.37,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1930,,,,,,,,,,,,,0.43,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1929,,,,,,,,,,,,,0.44,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1928,,,,,,,,,,,,,0.44,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1927,,,,,,,,,,,,,0.48,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1926,,,,,,,,,,,,,0.51,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1925,,,,,,,,,,,,,0.47,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1924,,,,,,,,,,,,,0.38,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1923,,,,,,,,,,,,,0.4,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1922,,,,,,,,,,,,,0.4,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1921,,,,,,,,,,,,,0.43,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1920,,,,,,,,,,,,,0.52,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1919,,,,,,,,,,,,,0.55,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1918,,,,,,,,,,,,,0.53,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1917,,,,,,,,,,,,,0.41,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1916,,,,,,,,,,,,,0.29,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1915,,,,,,,,,,,,,0.27,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1914,,,,,,,,,,,,,0.28,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1913,,,,,,,,,,,,,0.27,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1912,,,,,,,,,,,,,0.24,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1911,,,,,,,,,,,,,0.25,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1910,,,,,,,,,,,,,0.26,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1909,,,,,,,,,,,,,0.22,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1908,,,,,,,,,,,,,0.21,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1907,,,,,,,,,,,,,0.2,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1906,,,,,,,,,,,,,0.2,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1905,,,,,,,,,,,,,0.18,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1904,,,,,,,,,,,,,0.18,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1903,,,,,,,,,,,,,0.18,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1902,,,,,,,,,,,,,0.18,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1901,,,,,,,,,,,,,0.16,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1900,,,,,,,,,,,,,0.14,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1899,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1898,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1897,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1896,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1895,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1894,,,,,,,,,,,,,0.14,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1893,,,,,,,,,,,,,0.14,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1892,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1891,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
1890,,,,,,,,,,,,,0.13,bacon,$/lb,https://babel.hathitrust.org/cgi/pt?id=umn.31951000014585x&seq=233,dollar
